Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
408.57,614.59,902.20,101.87,616.00,-408.96,-12.83,504.36,31.37,148.64,-183.49,175.54,-753.55,-755.17,195.86,932.07,1
-214.14,-436.19,645.15,321.57,325.52,644.01,-836.16,-61.13,330.57,-752.20,-532.58,-42.59,691.06,244.71,285.69,-816.03,0
-657.87,-375.79,-893.09,-63.96,658.41,-997.54,620.92,-346.88,352.48,-808.52,912.31,-316.31,330.67,-797.29,340.66,-900.27,1
-345.07,-537.54,-961.71,39.60,-469.30,12.81,-75.32,83.36,-93.44,-243.67,-344.19,828.84,-532.95,-443.01,-456.80,13.21,1
-453.61,-272.28,-854.55,497.01,289.24,-847.38,122.45,843.12,696.73,-676.89,639.48,-303.17,-456.28,704.84,-88.39,915.12,0
-594.07,-527.81,-972.81,-226.10,685.78,707.54,126.42,725.96,-496.23,-109.61,-458.71,-111.54,886.03,-34.14,-211.67,33.95,1
533.38,439.44,308.65,654.59,740.56,173.08,541.00,634.62,598.91,-477.43,575.01,-542.79,-529.58,-393.80,-984.28,951.55,0
325.16,543.97,818.85,881.44,-250.63,425.10,899.94,-674.85,-661.79,890.04,-335.54,689.82,-747.92,-29.46,-934.08,-98.46,1
-369.44,-580.78,-421.08,306.56,-911.30,-274.14,644.32,-956.25,-524.31,991.91,833.22,-590.77,-55.72,674.53,-233.02,520.49,1
-652.54,-393.52,694.93,954.58,-714.77,668.88,-332.08,664.30,770.16,759.44,-218.51,-134.14,500.01,632.97,-769.29,-142.78,1
-226.98,-262.57,-289.37,211.92,64.23,727.96,841.77,252.96,969.11,956.36,-567.82,296.42,296.80,248.04,-714.17,-4.57,1
573.76,466.66,470.21,26.33,-95.01,102.98,972.08,-732.97,-566.15,406.17,329.43,542.24,-852.79,685.11,407.88,-671.50,1
-540.50,-602.81,-949.54,-278.79,109.96,-766.14,994.78,-970.82,600.04,289.85,-693.05,633.70,532.82,-869.55,189.69,-562.44,1
-441.97,-471.68,847.23,271.79,-981.75,-938.59,299.36,183.68,-499.54,219.22,774.37,923.33,-260.59,347.66,600.95,631.40,1
557.32,446.13,323.94,-161.54,-512.14,-698.93,-856.58,847.03,-837.99,-970.95,97.55,-605.30,27.20,247.97,-549.75,-17.72,0
375.04,459.84,-55.67,283.61,801.14,-879.87,-874.09,-225.61,886.87,85.24,-187.19,-954.74,833.60,402.07,-71.20,511.61,1
485.53,615.93,481.46,886.80,169.57,872.81,739.83,756.15,199.53,-351.34,409.64,-760.59,-500.27,649.96,616.68,890.08,0
-295.08,-471.84,153.13,-685.30,829.18,-107.38,-328.72,664.18,-212.46,555.20,668.90,220.83,347.76,544.32,-766.69,-689.88,0
416.66,558.69,-413.99,969.13,205.49,-745.61,-890.84,-511.81,13.71,938.90,741.05,554.91,-754.03,-633.41,612.35,-61.07,1
-462.29,-344.45,-952.14,361.38,-819.62,387.23,-51.53,511.74,211.11,-247.89,790.76,-173.25,423.21,243.94,-776.27,470.35,1
-466.96,-504.28,585.98,142.81,758.25,0.44,-847.14,756.85,264.69,-570.25,347.13,-623.71,93.55,102.56,-459.06,548.64,1
-426.97,-483.36,217.16,324.06,-540.04,-235.40,-567.63,470.19,-103.43,-573.75,-660.40,-156.79,-755.10,911.74,74.74,-791.75,1
603.70,498.36,-82.49,-445.89,654.46,708.52,550.05,466.25,-247.99,738.73,-427.00,450.99,-984.31,-625.78,-720.69,63.02,1
318.41,330.09,-8.63,686.92,700.21,-737.45,802.94,400.08,-402.32,-273.31,-416.71,-753.69,709.85,764.81,-566.39,300.38,1
593.78,254.48,-805.86,-29.16,-241.53,703.53,527.33,-817.08,833.63,961.20,613.41,-604.98,-452.86,-46.49,23.89,-689.18,1
551.21,457.54,991.54,-39.83,-262.61,642.35,-78.69,293.58,-918.94,11.19,117.04,-156.41,178.38,639.08,-515.02,631.27,0
542.26,445.47,-788.25,-598.31,5.01,-534.42,378.89,-472.72,213.56,-461.11,-643.69,-635.14,968.52,-374.52,965.63,110.28,1
-445.72,-407.28,78.57,306.84,-325.78,299.32,-6.42,314.08,458.37,-101.61,275.21,926.76,182.63,-670.64,814.73,649.99,0
-573.43,-513.66,836.10,748.09,-663.47,-934.22,-681.21,872.35,142.13,-915.68,-639.32,541.66,-127.70,-222.87,-126.06,396.85,0
-389.30,-444.57,-873.31,540.48,838.83,46.19,451.35,871.25,-692.05,-515.62,601.47,-259.70,-772.06,-686.16,-513.02,92.25,0
-512.56,-498.98,-844.44,-900.17,-390.76,638.83,818.74,629.73,392.29,139.44,928.93,311.95,88.05,-374.76,-904.20,606.83,0
-447.40,-719.56,751.25,-608.00,779.60,87.99,947.59,-556.49,-582.53,-296.89,-684.60,-449.52,449.60,-941.31,377.96,288.89,0
